Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid,GP,IDFANGRAPHS,Position,R_z,HR_z,SB_z,RBI_z,OBP_z,SLG_z,z-score,FVARz,SGP,R_sgp,HR_sgp,SB_sgp,RBI_sgp,OBP_sgp,SLG_sgp
Javier Baez,CHC,154,665,623,163,33,4,31,88,100,32,186,5,13,5,0.261,0.3,0.479,0.78,0.321,-0.3,1,2.6,75.4,12979,154,12979,SS,0.574572944,0.8762689,0.50136129,1.313801138,-1.441316913,0.233855663,2.058543021,,9.598221346,2.896479317,2.008815378,1.827593652,3.385495306,-0.840480131,0.320317824
Tim Anderson,CHW,154,665,628,178,34,2,24,93,78,25,151,5,19,6,0.283,0.315,0.461,0.776,0.325,-8.3,1.7,2.6,44.9,15172,154,15172,SS,0.855582576,0.144383706,1.176990829,0.192731048,-0.938131696,-0.097576363,1.3339801,,9.503723022,3.061052005,1.555211905,2.671098415,2.640686339,-0.486014275,0.061688634
J.P. Crawford,SEA,151,651,565,137,25,5,13,78,63,71,135,8,11,5,0.243,0.333,0.375,0.708,0.308,0.7,-0.1,2.5,474,15491,151,15491,SS,0.012553679,-1.0057216,0.276151443,-0.571634923,-0.32800085,-1.522081525,-3.138733776,,5.955029262,2.56733394,0.842406449,1.546425398,2.132862043,-0.05946705,-1.074531517
Adalberto Mondesi,KCR,147,637,592,150,29,9,19,81,76,31,180,3,54,15,0.253,0.292,0.428,0.721,0.302,3.9,5,2.4,22.8,13769,147,13769,SS,0.181159458,-0.378391433,5.118163144,0.090815585,-1.639154754,-0.66885042,2.70374158,,12.67804447,2.666077553,1.231209425,7.591542862,2.572976432,-0.989132551,-0.39462925
Didi Gregorius,PHI,138,600,548.5576516,146.1965309,26.24678753,4.022940089,25.15424685,78.64857937,94.60643325,37.34414275,82.85902252,6.029509274,6.079538864,3.021869692,0.266028445,0.318108643,0.463773836,0.781825711,0.325,-0.2,0,2.4,158.9,6012,139.3069365,6012,SS,0.049005089,0.265066017,-0.277916705,1.038957213,-0.755733008,-0.041830094,0.277548511,,7.991318877,2.58868163,1.630007674,0.854686664,3.202896357,-0.374826281,0.089872833
Jose Iglesias,LAA,130,600,562.4612132,159.5722475,36.97430026,2.183520709,11.23397478,66.18863494,70.85146603,23.75314204,77.87218014,7.236074192,7.63631091,4.174957536,0.28396089,0.319802476,0.415524018,0.734872358,0.311,3.2,0,2.3,488.4,10231,140.4554916,10231,SS/DH,-0.651267792,-1.190368415,-0.102616509,-0.171542026,-0.704466139,-0.843027574,-3.663288455,,5.500711376,2.178568319,0.727967139,1.073544103,2.398673057,-0.338459638,-0.539581605
Willy Adames,TBR,131,600,535.0805009,132.8971042,25.62879771,2.151404585,19.0180292,69.28062383,66.00245948,55.27134218,165.6695486,3.194761208,7.524956501,3.144339968,0.248232734,0.319662043,0.411477315,0.731709695,0.311,-0.6,0.3,2.2,413.5,15986,139.6257806,15986,SS,-0.47749206,-0.37650639,-0.115155563,-0.418636399,-0.708716601,-0.866420935,-2.962927949,,5.898068433,2.280339704,1.232377726,1.057889441,2.234510167,-0.341474744,-0.565573862
Miguel Rojas,MIA,131,600,543.0805009,146.8971042,27.62879771,1.151404585,11.0180292,63.28062383,60.00245948,42.27134218,77.66954861,8.194761208,10.5249565,4.144339968,0.269967734,0.330057043,0.385962315,0.716589695,0.306,4,-0.6,2.1,476.1,7802,139.6257806,7802,SS,-0.814703619,-1.212946612,0.222659207,-0.724382788,-0.394093423,-1.287892726,-4.211359961,,5.29284784,2.082852478,0.713973757,1.479641822,2.031380449,-0.118293792,-0.896706874
Dansby Swanson,ATL,149,644,571,143,31,3,20,84,79,60,159,5,11,4,0.25,0.325,0.417,0.742,0.314,0.1,1.2,2,109.3,18314,149,18314,SS,0.349765238,-0.273836405,0.276151443,0.243688779,-0.584737308,-0.830791269,-0.819759523,,7.511820636,2.764821166,1.296009921,1.546425398,2.674541292,-0.242360906,-0.527616235
Jorge Polanco,MIN,125,600,541.6033501,147.5976775,30.0108079,4.279869081,16.88181154,76.91266829,68.3984857,46.19854161,99.48007471,3.360013143,7.970374138,4.266810243,0.27353369,0.332800442,0.436087461,0.768195346,0.326,-2.3,-0.1,2,240.1,13152,140.9446247,13152,SS,-0.048556458,-0.599858686,-0.064999344,-0.296540339,-0.311059548,-0.483714299,-1.804728674,,6.741197125,2.531544919,1.093949762,1.120508091,2.315627523,-0.059392921,-0.261040249
Nick Ahmed,ARI,149,644,583,146,32,4,18,73,79,51,130,3,8,3,0.25,0.311,0.411,0.722,0.306,3.5,0.8,1.9,446.8,12147,149,12147,SS,-0.268455954,-0.482946461,-0.061663327,0.243688779,-1.039546122,-0.951176531,-2.560099616,,6.185785231,2.402761251,1.166408929,1.124673017,2.674541292,-0.56346716,-0.619132097
Elvis Andrus,OAK,139,602,556,142,29,3,13,69,60,36,94,4,17,7,0.255,0.302,0.385,0.687,0.293,-2.4,1.1,1.4,372.1,8709,139,8709,SS,-0.49326366,-1.0057216,0.951780983,-0.724508117,-1.24731855,-1.334034031,-3.853064975,,5.882741585,2.271103101,0.842406449,2.38993016,2.031297184,-0.722926361,-0.929068947
